PROCEDIMENTO;DESCRIÇÃO;MATERIAL CIRÚRGICO;QUANTIDADE
Artroplastia reversa do ombro;Artroplastia;Fios de alta resistência tipo taper;6
Artroplastia reversa do ombro;Artroplastia;Cimento com antibiótico;1
Artroplastia reversa do ombro;Fratura;Glenosfera inversa;1
Artroplastia reversa do ombro;Fratura;Inverse epifise;1
Artroplastia reversa do ombro;Fratura;Parafusos de fixação Inverse lagscrew;4
Artroplastia reversa do ombro;Fratura;Metaglena inverse;1
Artroplastia reversa do ombro;Fratura;Haste inverse;1
Artroplastia reversa do ombro;Fratura;Espaçador inverse inlay;1
Artroplastia reversa do ombro;Fratura;Lâmina de serra oscilante;1
Artroplastia reversa do ombro;Fratura;Fios de alta resistência tipo taper;6
Artroplastia reversa do ombro;Fratura;Cimento com antibiótico;1
Artroplastia reversa do ombro;Revisão;Haste umeral reversa de fratura;1
Artroplastia reversa do ombro;Revisão;Inserto reverso de fratura;1
Artroplastia reversa do ombro;Revisão;Base glenoidal;1
Artroplastia reversa do ombro;Revisão;Esfera glenoidal;1
Artroplastia reversa do ombro;Revisão;Parafuso de compressão 4,5mm;2
Artroplastia reversa do ombro;Revisão;Parafuso bloqueado 4,5mm;2
Artroplastia reversa do ombro;Revisão;Centralizador distal;1
Artroplastia reversa do ombro;Revisão;Dose de cimento com antibiótico;1
Artroplastia reversa do ombro;Revisão;Lâmina de serra de ponta oscilante;1
Artroplastia reversa do ombro;Revisão;Fios de alta resistência;6
Artroplastia reversa do ombro;Revisão;Cimentos com antibiótico;1
Artroplastia reversa do ombro;Revisão;Kit de lavagem;1
Artroplastia reversa do ombro;Revisão;Ponteira flush Cut;1
Artroplastia reversa do ombro;Revisão;Curativo Aquacel Ag;1
Artroplastia reversa do ombro;Revisão;Enxerto ósseo;1
Fratura da escápula;Osteossíntese;Placa de reconstrução bloqueada longa;1
Fratura da escápula;Osteossíntese;Placa de mini-micro;2
Fratura da escápula;Osteossíntese;Parafusos corticais;4
Fratura da escápula;Osteossíntese;Parafusos bloqueados;6
Fratura da escápula;Osteossíntese;Parafusos corticais;4
Fratura da escápula;Osteossíntese;Parafusos bloqueados;6
Fratura da escápula;Osteossíntese;Enxerto ósseo;1
Fratura da escápula;Osteossíntese;Gel anti-fibrótico;1
Fratura da escápula;Osteossíntese;Âncoras;1
Fratura da escápula;Osteossíntese;NeuraWrap 2cm;1
Fratura da escápula;Osteossíntese;I-stim;1
Fratura da clavícula;Osteossíntese;Placa de clavícula;1
Fratura da clavícula;Osteossíntese;Parafusos corticais;2
Fratura da clavícula;Osteossíntese;Parafusos bloqueados;6
Fratura da clavícula;Osteossíntese;Fio Taper;2
Fratura do coracóide;Osteossíntese;Parafusos canulados 4,0mm;2
Fratura do coracóide;Osteossíntese;Fios guia;2
Fratura do coracóide;Osteossíntese;Âncora de tecido;2
Fratura da extremidade proximal do úmero;Placa e parafusos;Placa de úmero proximal;1
Fratura da extremidade proximal do úmero;Placa e parafusos;Parafuso cortical;2
Fratura da extremidade proximal do úmero;Placa e parafusos;Parafuso bloqueado;8
Fratura da extremidade proximal do úmero;Placa e parafusos;Fios Taper;3
Fratura diafisária do úmero;Haste intramedular;Haste de úmero  ;1
Fratura diafisária do úmero;Haste intramedular;Parafuso de bloqueio ;4
Fratura diafisária do úmero;Haste intramedular;Parafuso tampão ;1
Fratura diafisária do úmero;Haste intramedular;Fio guia olivado;2
Fratura diafisária do úmero;Placa e parafusos;Placa lateral de úmero ;1
Fratura diafisária do úmero;Placa e parafusos;Parafuso cortical;4
Fratura diafisária do úmero;Placa e parafusos;Parafuso bloqueado;8
Fratura da extremidade distal do úmero;Placa e parafusos;Placa posterolateral de úmero distal;1
Fratura da extremidade distal do úmero;Placa e parafusos;placa medial de úmero distal;1
Fratura da extremidade distal do úmero;Placa e parafusos;Parafuso cortical;6
Fratura da extremidade distal do úmero;Placa e parafusos;Parafuso bloqueado;12
Fratura da extremidade distal do úmero;Placa e parafusos;Parafuso canulado;2
Fratura da extremidade distal do úmero;Placa e parafusos;Enxerto ósseo;1
Fratura da cabeça do rádio;Osteossíntese;Placa de cabeça de rádio;1
Fratura da cabeça do rádio;Osteossíntese;Parafuso cortical;2
Fratura da cabeça do rádio;Osteossíntese;Parafuso bloqueado;8
Fratura da cabeça do rádio;Osteossíntese;Parafuso canulado de dupla compressão;3
Fratura da cabeça do rádio;Osteossíntese;Fios guia;3
Fratura da cabeça do rádio;Osteossíntese;Âncora de tecido;2
Fratura da cabeça do rádio;Artroplastia;Haste Evolve;1
Fratura da cabeça do rádio;Artroplastia;Cabeça Radial Evolve;1
Fratura da cabeça do rádio;Artroplastia;Âncora de tecido;2
Fratura da cabeça do rádio;Artroplastia;Cimento ortopédico;1
Fratura do olécrano;Osteossíntese;Placa de olécrano;1
Fratura do olécrano;Osteossíntese;Parafuso cortical;2
Fratura do olécrano;Osteossíntese;Parafuso bloqueado;10
Fratura do olécrano;Osteossíntese;Âncora de tecido;2
Ruptura do peitoral maior;Cirurgia aberta;Pec Button (2,6mm);3
Ruptura do peitoral maior;Cirurgia aberta;FiberWire;3
Ruptura do peitoral maior;Cirurgia aberta;Drill Pin (3,2mm);1
Ruptura do peitoral maior;Cirurgia aberta;Insersor para Button;1
Ruptura do peitoral maior;Cirurgia aberta;TigerLoop ;1
Ruptura do Bíceps distal;Cirurgia aberta;Bíceps boton;1
Ruptura do Bíceps distal;Cirurgia aberta;Insersor para Button;1
Ruptura do Bíceps distal;Cirurgia aberta;Drill Pin (3,2mm);1
Ruptura do Bíceps distal;Cirurgia aberta;TigerLoop ;1
Ruptura do Bíceps distal;Cirurgia aberta;Parafuso de Biotenodese;1
Epicondilite lateral;Infiltração;Ácido Hialurônico;1
Epicondilite lateral;Infiltração;Triancil;1
Epicondilite lateral;Artroscopia;Âncora de tecido;3
Epicondilite lateral;Artroscopia;Lâmina de shaver ;1
Epicondilite lateral;Artroscopia;Equipo Bomba;1
Epicondilite lateral;Artroscopia; Ponteira de Radiofrequência;1
Epicondilite lateral;Cirurgia aberta;Âncora de tecido;3
Epicondilite medial;Infiltração;Ácido Hialurônico;1
Epicondilite medial;Infiltração;Triancil;1
Epicondilite medial;Tratamento cirúrgico;Âncora de tecido;3
Fratura da extremidade distal do rádio;Osteossíntese + Placa;Placa de rádio distal;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;Parafuso cortical;2
Fratura da extremidade distal do rádio;Osteossíntese + Placa;Perafuso bloqueado;10
Fratura da extremidade distal do rádio;Osteossíntese + Placa;Fio de Kirschner;3
Fratura da extremidade distal do rádio;Osteossíntese +  Fios;Fio de Kirschner;3
