Procedimento; conduta; cbhpm; quantidade
Fratura da cabeça do rádio;Osteossíntese;3.07.36.05-6;1
Fratura da cabeça do rádio;Osteossíntese;3.07.36.01-3;1
Fratura da cabeça do rádio;Osteossíntese;3.14.03.22-0;1
Fratura da cabeça do rádio;Artroplastia;3.07.19.02-0;1
Fratura da cabeça do rádio;Artroplastia;3.07.36.06-4;1
Fratura da cabeça do rádio;Artroplastia;3.07.36.05-6;1
Fratura da cabeça do rádio;Artroplastia;3.07.36.01-3;1
Fratura da cabeça do rádio;Artroplastia;3.14.03.22-0;1
Fratura do olécrano;Osteossíntese;3.07.36.06-4;1
Fratura do olécrano;Osteossíntese;3.07.19.10-0;1
Fratura do olécrano;Osteossíntese;3.07.36.05-6;1
Fratura do olécrano;Osteossíntese;3.07.32.02-6;1
Ruptura do peitoral maior;Cirurgia aberta;3.07.03.06-9 ;1
Ruptura do peitoral maior;Cirurgia aberta;3.07.18.09-0 ;1
Ruptura do peitoral maior;Cirurgia aberta;3.14.03.22-0;1
Ruptura do peitoral maior;Cirurgia aberta;3.07.31.11-9 ;1
Ruptura do peitoral maior;Cirurgia aberta;3.07.31.08-9;1
Ruptura do peitoral maior;Cirurgia aberta;3.07.35.09-2 ;1
Ruptura do Bíceps distal;Cirurgia aberta;3.07.35.23-8;1
Ruptura do Bíceps distal;Cirurgia aberta;3.07.31.08-9;1
Ruptura do Bíceps distal;Cirurgia aberta;3.07.36.05-6;1
Ruptura do Bíceps distal;Cirurgia aberta;3.07.31.21-6;1
Ruptura do Bíceps distal;Cirurgia aberta;3.14.03.22-0;1
Epicondilite lateral;Infiltração;3.07.13.14-5;1
Epicondilite lateral;Infiltração;3.14.03.02-6;1
Epicondilite lateral;Infiltração;4.09.02.05-6;1
Epicondilite lateral;Artroscopia;3.07.36.05-6;1
Epicondilite lateral;Artroscopia;3.07.36.04-8 ;1
Epicondilite lateral;Artroscopia;3.07.36.01-3 ;1
Epicondilite lateral;Artroscopia;3.14.03.22-0;1
Epicondilite lateral;Artroscopia;3.07.18.09-0;1
Epicondilite lateral;Cirurgia aberta;3.07.36.05-6 ;1
Epicondilite lateral;Cirurgia aberta;3.07.31.11-9 ;1
Epicondilite lateral;Cirurgia aberta;3.07.36.04-8 ;1
Epicondilite lateral;Cirurgia aberta;3.07.36.01-3 ;1
Epicondilite lateral;Cirurgia aberta;3.14.03.22-0;1
Epicondilite medial;Infiltração;3.07.13.14-5;1
Epicondilite medial;Infiltração;3.14.03.02-6;1
Epicondilite medial;Infiltração;4.09.02.05-6;1
Epicondilite medial;Tratamento cirúrgico;3.07.36.05-6 ;1
Epicondilite medial;Tratamento cirúrgico;3.07.31.11-9 ;1
Epicondilite medial;Tratamento cirúrgico;3.07.36.04-8 ;1
Epicondilite medial;Tratamento cirúrgico;3.07.36.01-3 ;1
Epicondilite medial;Tratamento cirúrgico; 3.14.03.22-0;1
Bursite de olécrano;Tratamento cirúrgico;3.01.01.56-5;1
Bursite de olécrano;Tratamento cirúrgico;3.01.01.56-5;1
Bursite de olécrano;Tratamento cirúrgico;3.01.01.56-5;1
Bursite de olécrano;Tratamento cirúrgico;3.01.01.56-5;1
Bursite de olécrano;Tratamento cirúrgico;3.01.01.56-5;1
Fratura dos ossos do antebraço - diáfise;Tratamento cirúrgico;3.07.20.09.5;2
Fratura dos ossos do antebraço - diáfise;Tratamento cirúrgico;3.07.31.11.9;1
Fratura dos ossos do antebraço - diáfise;Tratamento cirúrgico;3.14.03.22.0;1
Fratura dos ossos do antebraço - diáfise;Tratamento cirúrgico;3.14.03.36.0;1
Fratura dos ossos do antebraço - diáfise;Tratamento cirúrgico;3.07.37.05.2;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.07.20.09.5;2
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.07.37.05.2;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.07.37.06.0;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.07.31.11.9;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.14.03.22.0;1
Fratura da extremidade distal do rádio;Osteossíntese + Placa;3.07.32.02.6;1
Fratura da extremidade distal do rádio;Osteossíntese +  Fios;3.07.20.09.5;2
Fratura da extremidade distal do rádio;Osteossíntese +  Fios;3.07.31.11.9;1
Fratura da extremidade distal do rádio;Osteossíntese +  Fios;3.14.03.22.0;1
